# NOTICE: PROTOTYPE / BENCHMARK LABELED DATASET FOR SIH PS 26162 DEVELOPMENT ONLY
# NASA FIRMS DOES NOT NATIVELY PROVIDE GROUND-TRUTH CLASS LABELS
# THIS DATASET IS INTENDED FOR MACHINE LEARNING PIPELINE DEVELOPMENT AND TESTING
latitude,longitude,brightness,bright_t31,temp_diff,frp,frp_density,confidence_score,is_night,hour_sin,hour_cos,recurrence_count,persistence_ratio,night_detection_ratio,frp_local_mean,frp_zscore,frp_to_mean_ratio,target_class,target_label
22.8046,86.2029,335.4,298.2,37.2,18.5,131.7,0.60,0,0.923,-0.382,12,0.80,0.50,19.2,-0.25,0.96,1,Persistent Thermal Source
22.8051,86.2035,342.1,301.0,41.1,24.8,167.5,0.90,0,0.953,-0.301,12,0.80,0.50,19.2,1.20,1.29,1,Persistent Thermal Source
22.8049,86.2025,338.0,299.5,38.5,21.0,153.5,0.90,0,0.891,-0.453,12,0.80,0.50,19.2,0.40,1.09,1,Persistent Thermal Source
22.8048,86.2030,378.5,310.2,68.3,145.0,980.0,0.95,0,0.923,-0.382,12,0.80,0.50,19.2,4.85,7.55,2,Industrial Fire
22.8055,86.2040,382.0,312.5,69.5,160.0,1050.0,0.98,0,0.923,-0.382,12,0.80,0.50,19.2,5.20,8.33,2,Industrial Fire
22.8042,86.2020,336.0,298.0,38.0,19.0,135.0,0.60,1,-0.999,-0.026,12,0.80,0.50,19.2,-0.10,0.99,1,Persistent Thermal Source
21.1904,81.3809,348.6,305.2,43.4,32.4,213.5,0.90,0,0.866,-0.500,10,0.70,0.40,30.5,0.35,1.06,1,Persistent Thermal Source
21.1910,81.3812,345.2,302.1,43.1,28.1,195.1,0.60,0,0.906,-0.422,10,0.70,0.40,30.5,-0.45,0.92,1,Persistent Thermal Source
21.1908,81.3810,385.0,318.0,67.0,180.2,1210.0,0.98,0,0.866,-0.500,10,0.70,0.40,30.5,5.10,5.90,2,Industrial Fire
21.1900,81.3805,379.0,314.0,65.0,150.0,1020.0,0.95,1,-0.965,-0.258,10,0.70,0.40,30.5,4.20,4.92,2,Industrial Fire
21.1915,81.3815,346.0,303.0,43.0,29.0,200.0,0.70,1,-0.965,-0.258,10,0.70,0.40,30.5,-0.20,0.95,1,Persistent Thermal Source
24.2001,82.6672,328.7,289.4,39.3,12.3,70.0,0.60,1,-0.999,-0.026,15,0.90,0.60,14.0,-0.60,0.88,1,Persistent Thermal Source
24.1998,82.6680,331.0,290.1,40.9,14.0,83.8,0.60,1,-0.999,-0.026,15,0.90,0.60,14.0,0.00,1.00,1,Persistent Thermal Source
24.2005,82.6675,365.2,308.0,57.2,85.0,510.0,0.92,1,-0.999,-0.026,15,0.90,0.60,14.0,3.20,6.07,2,Industrial Fire
24.2002,82.6670,332.0,291.0,41.0,15.0,90.0,0.70,0,0.866,-0.500,15,0.90,0.60,14.0,0.30,1.07,1,Persistent Thermal Source
24.2008,82.6685,330.0,290.0,40.0,13.5,80.0,0.60,0,0.866,-0.500,15,0.90,0.60,14.0,-0.10,0.96,1,Persistent Thermal Source
23.6800,86.9500,344.0,302.0,42.0,26.0,175.0,0.80,0,0.923,-0.382,9,0.65,0.45,25.0,0.20,1.04,1,Persistent Thermal Source
23.6810,86.9510,341.0,301.0,40.0,24.0,160.0,0.70,1,-0.999,-0.026,9,0.65,0.45,25.0,-0.15,0.96,1,Persistent Thermal Source
23.6805,86.9505,389.0,320.0,69.0,195.0,1350.0,0.98,0,0.923,-0.382,9,0.65,0.45,25.0,5.80,7.80,2,Industrial Fire
23.6815,86.9520,381.0,316.0,65.0,165.0,1120.0,0.95,1,-0.999,-0.026,9,0.65,0.45,25.0,4.80,6.60,2,Industrial Fire
21.8000,83.9000,339.0,300.0,39.0,22.0,150.0,0.75,0,0.906,-0.422,11,0.75,0.50,21.0,0.20,1.05,1,Persistent Thermal Source
21.8010,83.9010,336.0,298.0,38.0,20.0,140.0,0.70,1,-0.965,-0.258,11,0.75,0.50,21.0,-0.15,0.95,1,Persistent Thermal Source
21.8005,83.9005,376.0,312.0,64.0,140.0,950.0,0.94,0,0.906,-0.422,11,0.75,0.50,21.0,4.10,6.66,2,Industrial Fire
21.8020,83.9015,338.0,299.0,39.0,21.5,145.0,0.70,0,0.866,-0.500,11,0.75,0.50,21.0,0.05,1.02,1,Persistent Thermal Source
22.4000,82.7000,342.0,303.0,39.0,25.0,170.0,0.80,1,-0.965,-0.258,8,0.60,0.40,24.0,0.15,1.04,1,Persistent Thermal Source
22.4010,82.7010,340.0,302.0,38.0,23.0,160.0,0.75,0,0.923,-0.382,8,0.60,0.40,24.0,-0.20,0.96,1,Persistent Thermal Source
22.4005,82.7005,384.0,317.0,67.0,170.0,1180.0,0.97,0,0.923,-0.382,8,0.60,0.40,24.0,5.10,7.08,2,Industrial Fire
22.4015,82.7015,377.0,313.0,64.0,148.0,1020.0,0.95,1,-0.965,-0.258,8,0.60,0.40,24.0,4.20,6.16,2,Industrial Fire
20.2700,85.8400,337.0,299.0,38.0,21.0,142.0,0.70,0,0.891,-0.453,10,0.70,0.40,20.0,0.20,1.05,1,Persistent Thermal Source
