# NOTICE: SYNTHETIC / DEMO SATELLITE DATA FOR OFFLINE TESTING AND DEVELOPMENT ONLY
# DO NOT USE AS OFFICIAL NASA SATELLITE ARCHIVES
latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.8046,86.2029,335.4,0.39,0.36,2024-03-01,0730,N,VIIRS,nominal,2.0NRT,298.2,18.5,D
22.8051,86.2035,342.1,0.40,0.37,2024-03-02,0715,N,VIIRS,high,2.0NRT,301.0,24.8,D
22.8049,86.2025,338.0,0.38,0.36,2024-03-03,0745,N,VIIRS,high,2.0NRT,299.5,21.0,D
21.1904,81.3809,348.6,0.41,0.37,2024-03-01,0800,1,VIIRS,high,2.0NRT,305.2,32.4,D
21.1910,81.3812,345.2,0.40,0.36,2024-03-02,0740,1,VIIRS,nominal,2.0NRT,302.1,28.1,D
24.2001,82.6672,328.7,0.45,0.39,2024-03-01,1830,N,VIIRS,nominal,2.0NRT,289.4,12.3,N
24.1998,82.6680,331.0,0.44,0.38,2024-03-02,1815,N,VIIRS,nominal,2.0NRT,290.1,14.0,N
30.3753,76.7821,315.2,0.50,0.41,2024-03-01,0730,N,VIIRS,low,2.0NRT,292.0,6.2,D
31.1471,75.3412,312.0,0.52,0.42,2024-03-01,0730,N,VIIRS,low,2.0NRT,291.5,4.8,D
28.6139,77.2090,320.5,0.42,0.37,2024-03-02,0750,N,VIIRS,nominal,2.0NRT,295.0,9.1,D
